id_data,id_column,key,en,de,fr,es
data_included_table,asset_type_analysis,Bonds,Corporate Bonds,Unternehmensanleihen,Obligations d'entreprises,Bonos corporativos
data_included_table,asset_type_analysis,Equity,Listed Equity,Aktien,Actions,Acciones
data_included_table,asset_type_analysis,Funds,Funds,Fonds,Fonds,Fondos
data_included_table,asset_type_analysis,Other,Other Asset Classes,Andere Asset-Klassen,Autres classes d'actifs,Otra clase de activos
data_included_table,asset_type_analysis,Unclassified,Unclassified,Nicht klassifiziert,Non classifié,No clasificado
data_included_table,asset_type_analysis,Total,Total,Gesamt,Total,Total
data_included_table,included,Yes,Yes,Ja,Oui,Si
data_included_table,included,No,No,Nein,Non,No
data_included_table,investment_means,Direct,Direct,Direkt,Direct,Directo
data_included_table,investment_means,Via a Fund,Via a Fund,Über einen Fonds,Par le biais d'un fonds,A través de un fondo
data_included_table,investment_means,Unidentified Funds,Unidentified Funds,Nicht identifizierte Fonds,Fonds non identifiés,Fondos no identificados
data_value_pie_equity,key,Automotive,Automotive,Automobilindustrie,Industrie automobile,Automotriz
data_value_pie_equity,key,Aviation,Aviation,Luftfahrt,Aviation,Aviación
data_value_pie_equity,key,Cement,Cement,Zement,Ciment,Cement
data_value_pie_equity,key,Coal,Coal,Kohle,Charbon,Carbón
data_value_pie_equity,key,Oil&Gas,Oil & Gas,Öl & Gas,Pétrole et gaz,Petróleo y gas
data_value_pie_equity,key,Power,Power,Energie,Power,Energía
data_value_pie_equity,key,Shipping,Shipping,Schifffahrt,Transport maritime,Transporte marítimo
data_value_pie_equity,key,Steel,Steel,Stahl,Acier,Acero
data_value_pie_equity,key,Consumer Staples,Consumer Staples,Basiskonsumgüter,Consommation de base,Productos básicos de consumo
data_value_pie_equity,key,Energy,Energy,Energie,Énergie,Energia
data_value_pie_equity,key,Unclassifiable,Unclassifiable,Nicht klassifizierbar,Inclassable,No clasificable
data_value_pie_equity,key,Communications,Communications,Mitteilungen,Communications,Comunicaciones
data_value_pie_equity,key,Consumer Disrectionary,Consumer Disrectionary,Konsumentenverweigerer,Biens non essentiels,Bienes no esenciales
